Cam_No,Location,Easting,Northing,lat,lon,Notes
1,Church Street/High Street,435448,387420,53.382445,-1.4685522,NA
2,Chapel Walk,435449,387392,53.382193,-1.4685403,NA
3,Fargate (Marks & Spencers),435418,387339,53.381719,-1.4690122,NA
4,Fargate (WH Smiths),435387,387309,53.381451,-1.4694816,NA
5,Fargate (Next),435405,387302,53.381387,-1.4692118,NA
6,Chapel Walk,435506,387374,53.382027,-1.4676854,NA
7,Chapel Walk,435510,387367,53.381964,-1.4676261,NA
8,Chapel Walk,435538,387318,53.381522,-1.4672107,NA
9,Holly Lane Edwards,435135,387286,53.381261,-1.4732724,NA
10,City Hall,435183,387212,53.380593,-1.472559,NA
11,Barkers Pool,435261,387182,53.380318,-1.4713898,NA
12,Fargate (Top),435338,387265,53.381059,-1.4702231,NA
13,Pinstone Street,435322,387167,53.380179,-1.4704745,NA
14,Surrey Street,435468,387201,53.380475,-1.4682761,NA
15,Cheney Row,435416,387147,53.379993,-1.4690638,NA
16,Millenium Square,435471,387092,53.379495,-1.4682432,NA
18,Surrey Street,435509,387161,53.380113,-1.4676642,NA
19,Norfolk Street,435504,387270,53.381093,-1.4677272,NA
20,Arundel Gate,435598,387321,53.381545,-1.4663084,NA
21,Crucible Stage Door,435533,387276,53.381145,-1.4672906,NA
22,Pinstone Street,435282,387015,53.378816,-1.4710928,NA
23,Pinstone Street / Furnival Gate,435255,386929,53.378044,-1.4715082,NA
24,Charles Street/Pinstone Street,435310,386960,53.378319,-1.470678,NA
25,Exchange Gateway,435890,387605,53.384078,-1.4618867,NA
26,Exchange Gateway,435883,387607,53.384096,-1.4619917,NA
27,Exchange Gateway,435896,387581,53.383862,-1.4617992,NA
28,Exchange Gateway,435891,387511,53.383233,-1.4618823,NA
29,The Crucible,435545,387241,53.380829,-1.4671141,NA
31,Midland Station,435953,387111,53.379633,-1.4609956,NA
32,Midland Station 2,435942,386945,53.378142,-1.4611798,NA
33,Park Square Roundabout,435995,387466,53.382821,-1.460324,NA
35,Fitzalan Square,435721,387509,53.383226,-1.4644382,NA
36,Castle Square (Bankers Draft),435613,387520,53.383333,-1.4660605,NA
38,High Street/York Street,435474,387456,53.382767,-1.4681573,NA
39,Orchard Street/Church Street,435293,387416,53.382419,-1.4708828,NA
40,Church Street/Leopold Street,435236,387424,53.382495,-1.4717387,NA
41,Holly Street/West Street,435166,387320,53.381565,-1.4728026,NA
42,Carver Street/West Street,435055,387292,53.38132,-1.4744743,NA
43,Rockingham Street,434955,387231,53.380779,-1.4759843,NA
44,Westfield Terrace,434896,387210,53.380594,-1.4768735,NA
45,Mappin Street,434766,387166,53.380207,-1.4788325,NA
46,Fitzwilliam Street,434678,387153,53.380096,-1.4801568,NA
47,Glossop Road/Victoria Street,434551,387161,53.380176,-1.482065,NA
48,Glossop Road/Gell Street,434486,387150,53.380081,-1.4830433,NA
49,Glossop Road/Upper Hanover,434397,387171,53.380276,-1.4843789,NA
50,Trippet Lane,434999,387324,53.381612,-1.4753126,NA
51,Rockingham Street Car Park,435015,387088,53.37949,-1.4750981,NA
52,Division Street/Eldon Street,434852,387073,53.379365,-1.47755,NA
53,Devonshire Green Skate Park,434797,386986,53.378587,-1.4783863,NA
54,Fitzwilliam Street Car Park,434711,387089,53.379519,-1.4796677,NA
55,Eldon Street Car Park,434789,387156,53.380116,-1.4784879,NA
56,Carver Street/Division Street,435095,387155,53.380086,-1.4738882,NA
57,Glossop Road/Gell Street,434503,387153,53.380107,-1.4827874,NA
61,Fitzalan Square,435702,387508,53.383219,-1.4647239,NA
